NAME,TYPE,LONGITUDE,LATITUDE
KITA CITY,,,
Workers Cooop Harmony Oji 3-chome,,35.76206752,139.7361513
KOMAGOME,,,
Resident's Square 'Komagome',,35.73739185,139.7474446
Komagome Community Cultural Creation Building,,35.73750668,139.7474109
Kumin Hiroba Gyodaka,,35.7372951,139.7403131
SUGAMO,,,
Kumin Hiroba Asahi,,35.74063669,139.7334799
Sugamo Local Culture Creation Hall,,35.73810423,139.7318998
Kumin Hiroba Seiwa No.1,,35.73563741,139.7339668
NISHISUGAMO,,,
Comodi IIDA Nishi-Sugamo store,"PET, Cartons, trays",35.74009488,139.7294365
"Toshima City Residents' Plaza Sugamo 1
",,35.74043086,139.7277127
TAKINOGAWA,,,
"Comodi Iida Takinogawa Store
","PET, Cartons, Trays",35.74415159,139.7223216
IKEBUKUROHONCHO,,,
Ikebukuro Honcho Children Hall,,35.74387679,139.712663
Toshima Waste Collection Office,,35.73836682,139.7128998
IKEBUKURO,,,
Miraikan TAIMEI,,35.73580418,139.7045009
TAKAMATSU,,,
Takamatsu Community Center,,35.7386842,139.6974845
CHIHAYA,,,
Toshima ward Western Regional Office,,35.73582945,139.6910698
Chihaya Regional Culture Creation Museum,,35.73541242,139.6886611
Toshima City Chihaya Library,,35.73566637,139.6884122
KANAMECHO,,,
Chihaya Ward Community Plaza,,35.73742115,139.6873249
KAMIIKEBUKURO,,,
Ward Community Plaza Toyonari,,35.73706899,139.7214936
KITAOTSUKA,,,
Toshima Ward Eastern Regional Office,,35.73150773,139.7314576
Toshima Recycling,,35.73577863,139.7256108
HIGASHIIKEBUKURO,,,
Toshimaku Shirubajinzai Center,,35.73390226,139.7186744
Kumin Hiroba Tomoyasu,,35.73174318,139.7214627
Toshima City Central Public Library,,35.72716881,139.7187793
IKEBUKURO,,35.73174397,139.7131161
MINAMIOTSUKA,,,
Minami-Otsuka Community Culture Center,,35.72939303,139.7295509
Toshima Kuyakusho Tobu Public Health Center,,35.72909508,139.7304074
Toshima City Office,,35.72642827,139.716628
MINAMIIKEBUKURO,,,
Regional Resident's Square Minamiikebukuro,,35.7234168,139.714052
ZOSHIGAYA,,,
Zoshigaya Community Culture Creation Center,,35.71983716,139.7135815
UENOKOEN,,,
Ueno Zoological Gardens,"PET, Can, Burn",35.71609272,139.7723118
Tokyo Bunka Kaikan,Paper,35.71471723,139.7753174
Ueno Station,"PET, Can, Burn",35.71373728,139.7765605
Ueno Park Toilet No.9,"PET, Can, Burn",35.71192049,139.7737919
Shinobazu Pond Bentenmon Square,"PET, Can, Burn",35.71217267,39.77268816
LAWSON Ueno Nakacho Dori Store,"PET, Can, Burn",35.70943359,139.7719875
SOTOKANDA,,,
EDION AKIBA STORE,,35.6983986,139.7710973
SEUSHINCHO,,,
Maruetsu Kasai Clean Town Store,"Cartons, Trays",35.66204007,139.855694
AEON STYLE Minami-suna,Can,35.67193741,139.8357656
SHINONOME,,,
AEON Shinonome,Can,35.64878858,139.8021524
TOYOSU,,,
Kōtō Toyosu Post Office,,35.65752676,139.7959544
DAIBA,,,
Odaiba Kaihinkoen Post Office,,35.63038773,139.7778189
SHINAGAWA,,,
Minato Waste Collection Office,Trays,35.63446264,139.751356
Stasiun Ōsaki,"PET, Paper, Can, Cartons, Burn",35.62010422,139.7281356
Tokyo Legal Affairs Bureau Shinagawa Branch Office,"PET, Trays",35.60947052,139.7299694
Bunko No Mori Park,"PET, Can, Burn",35.6118085,139.7212748
Shinagawa City Togoshi Gymnasium,"PET, Can, Cartons",35.61077871,139.7205242
Miyamae Shopping Street Resource Collection Station,"PET, Paer, Can, Cartons",35.61279119,139.7192584
