AREA NAME;CITY AREA;LONGITUDE;LATITUDE
Workers Cooop Harmony Oji 3-chome;KITA CITY;35,76206752;139,7361513
Resident's Square 'Komagome';KOMAGOME;35,73739185;139,7474446
Komagome Community Cultural Creation Building;KOMAGOME;35,73750668;139,7474109
Kumin Hiroba Gyodaka;KOMAGOME;35,7372951;139,7403131
Kumin Hiroba Asahi;SUGAMO;35,74063669;139,7334799
Sugamo Local Culture Creation Hall;SUGAMO;35,73810423;139,7318998
Kumin Hiroba Seiwa No.1;SUGAMO;35,73563741;139,7339668
Comodi IIDA Nishi-Sugamo store;NISHISUGAMO;35,74009488;139,7294365
Toshima City Residents' Plaza Sugamo 1;NISHISUGAMO;35,74043086;139,7277127
"Comodi Iida Takinogawa Store
";TAKINOGAWA;35,74415159;139,7223216
Ikebukuro Honcho Children Hall;IKEBUKUROHONCHO;35,74387679;139,712663
Toshima Waste Collection Office;IKEBUKUROHONCHO;35,73836682;139,7128998
Miraikan TAIMEI;IKEBUKURO;35,73580418;139,7045009
Takamatsu Community Center;TAKAMATSU;35,7386842;139,6974845
Toshima ward Western Regional Office;CHIHAYA;35,73582945;139,6910698
Chihaya Regional Culture Creation Museum;CHIHAYA;35,73541242;139,6886611
Toshima City Chihaya Library;CHIHAYA;35,73566637;139,6884122
Chihaya Ward Community Plaza;KANAMECHO;35,73742115;139,6873249
Ward Community Plaza Toyonari;KAMIIKEBUKURO;35,73706899;139,7214936
Toshima Ward Eastern Regional Office;KITAOTSUKA;35,73150773;139,7314576
Toshima Recycling;KITAOTSUKA;35,73577863;139,7256108
Toshimaku Shirubajinzai Center;HIGASHIIKEBUKURO;35,73390226;139,7186744
Kumin Hiroba Tomoyasu;HIGASHIIKEBUKURO;35,73174318;139,7214627
Toshima City Central Public Library;HIGASHIIKEBUKURO;35,72716881;139,7187793
IKEBUKURO;HIGASHIIKEBUKURO;35,73174397;139,7131161
Minami-Otsuka Community Culture Center;MINAMIOTSUKA;35,72939303;139,7295509
Toshima Kuyakusho Tobu Public Health Center;MINAMIOTSUKA;35,72909508;139,7304074
Toshima City Office;MINAMIOTSUKA;35,72642827;139,716628
Regional Resident's Square Minamiikebukuro;MINAMIIKEBUKURO;35,7234168;139,714052
Zoshigaya Community Culture Creation Center;ZOSHIGAYA;35,71983716;139,7135815
Ueno Zoological Gardens;UENOKOEN;35,71609272;139,7723118
Tokyo Bunka Kaikan;UENOKOEN;35,71471723;139,7753174
Ueno Station;UENOKOEN;35,71373728;139,7765605
Ueno Park Toilet No.9;UENOKOEN;35,71192049;139,7737919
Shinobazu Pond Bentenmon Square;UENOKOEN;35,71217267;39,77268816
LAWSON Ueno Nakacho Dori Store;UENOKOEN;35,70943359;139,7719875
EDION AKIBA STORE;SOTOKANDA;35,6983986;139,7710973
Maruetsu Kasai Clean Town Store;SEUSHINCHO;35,66204007;139,855694
AEON STYLE Minami-suna;SEUSHINCHO;35,67193741;139,8357656
AEON Shinonome;SHINONOME;35,64878858;139,8021524
Kōtō Toyosu Post Office;TOYOSU;35,65752676;139,7959544
Odaiba Kaihinkoen Post Office;DAIBA;35,63038773;139,7778189
Minato Waste Collection Office;SHINAGAWA;35,63446264;139,751356
Stasiun Ōsaki;SHINAGAWA;35,62010422;139,7281356
Tokyo Legal Affairs Bureau Shinagawa Branch Office;SHINAGAWA;35,60947052;139,7299694
Bunko No Mori Park;SHINAGAWA;35,6118085;139,7212748
Shinagawa City Togoshi Gymnasium;SHINAGAWA;35,61077871;139,7205242
Miyamae Shopping Street Resource Collection Station;SHINAGAWA;35,61279119;139,7192584
